Family,Code,Genus,Species,Notes
ACANTHACEAE,CALI2,Carlowrightia,linearifolia,
AGAVACEAE,YUBA,Yucca,baccata,
AGAVACEAE,YUGL,Yucca,glauca,
AIZOACEAE,TRPO2,Trianthema,portulacastrum,
AMARANTHACEAE,AMAL,Amaranthus,albus,
AMARANTHACEAE,AMBL,Amaranthus,blitoides,
AMARANTHACEAE,AMPA,Amaranthus,palmeri,
AMARANTHACEAE,TILA2,Tidestromia,lanuginosa,
ANACARDIACEAE,RHMI3,Rhus,microphylla,
ANACARDIACEAE,RHTR,Rhus,trilobata,
APIACEAE,CYACF,Cymopterus,acaulis,
APIACEAE,CYMO,Cymopterus,montanus,
ASCLEPIADACEAE,ASAS,Asclepias,asperula,
ASCLEPIADACEAE,ASBR,Asclepias,brachystephana,
ASCLEPIADACEAE,ASLA4,Asclepias,latifolia,
ASCLEPIADACEAE,FUCYH,Funastrum,cynanchoides,
ASTERACEAE,ACNA2,Acourtia,nana,
ASTERACEAE,AGHE5,Ageratina,herbacea,
ASTERACEAE,APRAH,Aphanostephus,ramosissimus,
ASTERACEAE,ARLUL2,Artemisia,ludoviciana,
ASTERACEAE,BAABA,Bahia,absinthifolia,
ASTERACEAE,BADI,Bahia,dissecta,
ASTERACEAE,BAMU,Baileya,multiradiata,
ASTERACEAE,BAPT,Baccharis,pteronioides,
ASTERACEAE,BAWR,Baccharis,wrightii,
ASTERACEAE,BELY,Berlandiera,lyrata,
ASTERACEAE,BRBR2,Brickellia,brachyphylla,
ASTERACEAE,BRCA3,Brickellia,californica,
ASTERACEAE,BREUC2,Brickellia,eupatorioides,
ASTERACEAE,BRMIS,Brickellia,microphylla,
ASTERACEAE,CAWR,Calycoseris,wrightii,
ASTERACEAE,CHER2,Chaetopappa,ericoides,
ASTERACEAE,CINE,Cirsium,neomexicanum,
ASTERACEAE,COCA5,Conyza,canadensis,
ASTERACEAE,DYPA,Dyssodia,papposa,
ASTERACEAE,ERDI4,Erigeron,divergens,
ASTERACEAE,ERFL,Erigeron,flagellaris,
ASTERACEAE,ERNAN5,Ericameria,nauseosa,
ASTERACEAE,GAPI,Gaillardia,pinnatifida,
ASTERACEAE,GAPU,Gaillardia,pulchella,
ASTERACEAE,GUSA2,Gutierrezia,sarothrae,
ASTERACEAE,GUSP,Gutierrezia,spahaerocephala,
ASTERACEAE,GUWR,Gutierrezia,wrightii,
ASTERACEAE,HEPI2,Heterosperma,pinnatum,
ASTERACEAE,HYFIC,Hymenopappus,filifolius,
ASTERACEAE,HYRIF,Hymenoxys,richardsonii,
ASTERACEAE,LACO13,Laennecia,coulteri,
ASTERACEAE,LASE,Lactuca,serriola,
ASTERACEAE,LEDE23,Leuciva,dealbata,
ASTERACEAE,MACA2,Machaeranthera,canescens,
ASTERACEAE,MAFE,Malacothrix,fendleri,
ASTERACEAE,MAGR10,Machaeranthera,gracilis,
ASTERACEAE,MAPIP,Machaeranthera,pinnatifida,
ASTERACEAE,MATA2,Machaeranthera,tanacetifolia,
ASTERACEAE,MELE2,Melampodium,leucanthum,
ASTERACEAE,PAIN2,Parthenium,incanum,
ASTERACEAE,PEAN,Pectis,angustifolia,
ASTERACEAE,PSTAT,Psilostrophe,tagetina,
ASTERACEAE,RANE,Rafinesquia,neomexicana,
ASTERACEAE,SAAB,Sanvitalia,abertii,
ASTERACEAE,SCLA6,Scorzonera,laciniata,
ASTERACEAE,SCMU6,Schkuhria,multiflora,
ASTERACEAE,SEFLF,Senecio,flaccidus,
ASTERACEAE,STPA4,Stephanomeria,pauciflora,
ASTERACEAE,TEAR4,Tetraneuris,argentea,
ASTERACEAE,THAC,Thymophylla,acerosa,
ASTERACEAE,THME,Thelesperma,megapotamicum,
ASTERACEAE,TOAN,Townsendia,annua,
ASTERACEAE,TRDU,Tragopogon,dubius,
ASTERACEAE,ZIGR,Zinnia,grandiflora,
BERBERIDACEAE,MAHA4,Mahonia,haematocarpa,
BORAGINACEAE,CRCI3,Cryptantha,cinerea,
BORAGINACEAE,CRCR3,Cryptantha,crassisepala,
BORAGINACEAE,LAOCO,Lappula,occidentalis,
BORAGINACEAE,LIIN2,Lithospermum,incisum,
BORAGINACEAE,TICA3,Tiquilia,canescens,
BRASSICACEAE,ARFEF,Arabis,fendleri,
BRASSICACEAE,DEPI,Descurainia,pinnata,
BRASSICACEAE,DIWI2,Dimorphocarpa,wislizeni,
BRASSICACEAE,DRCUC,Draba,cuneifolia,
BRASSICACEAE,LEDED,Lepidium,densiflorum,
BRASSICACEAE,LEFE,Lesquerella,fendleri,
BRASSICACEAE,LEPI3,Lesquerella,pinetorum,
BRASSICACEAE,NECA3,Nerisyrenia,camporum,
BRASSICACEAE,PELO3,Pennellia,longifolia,
BRASSICACEAE,RARA2,Raphanus,raphanistrum,
BRASSICACEAE,SIAL2,Sisymbrium,altissimum,
BRASSICACEAE,THWR,Thelypodium,wrightii,
CACTACEAE,CYIMI,Cylindropuntia,imbricata,
CACTACEAE,CYLE8,Cylindropuntia,leptocaulis,
CACTACEAE,ECCOC,Echinocereus,coccineus,
CACTACEAE,ECFEF3,Echinocereus,fendleri,
CACTACEAE,ECIN2,Echinomastus,intertextus,
CACTACEAE,ECPE,Echinocereus,pectinatus,
CACTACEAE,ESVIV,Escobaria,vivipara,
CACTACEAE,GRCL,Grusonia,clavata,
CACTACEAE,MAHEH2,Mammillaria,heyderi,
CACTACEAE,MAWR2,Mammillaria,wrightii,
CACTACEAE,OPEN3,Opuntia,engelmannii,
CACTACEAE,OPMA8,Opuntia,macrocentra,
CACTACEAE,OPPH,Opuntia,phaeacantha,
CACTACEAE,OPPOP,Opuntia,polyacantha,
CACTACEAE,SCPA10,Sclerocactus,papyracanthus,
CARYOPHYLLACEAE,DRGL5,Drymaria,glandulosa,
CHENOPODIACEAE,ATCA2,Atriplex,canescens,
CHENOPODIACEAE,CHGR2,Chenopodium,graveolens,
CHENOPODIACEAE,CHIN2,Chenopodium,incanum,
CHENOPODIACEAE,KRLA2,Krascheninnikovia,lanata,
CHENOPODIACEAE,SATR12,Salsola,tragus,
CONVOLVULACEAE,COAR4,Convolvulus,arvensis,
CONVOLVULACEAE,COEQ,Convolvulus,equitans,
CONVOLVULACEAE,EVNU,Evolvulus,nuttallianus,
CONVOLVULACEAE,IPCO2,Ipomoea,costellata,
CONVOLVULACEAE,IPCR,Ipomoea,cristulata,
CRASSULACEAE,SECO,Sedum,cockerellii,
CUCURBITACEAE,CUFO,Cucurbita,foetidissima,
CUPRESSACEAE,JUMO,Juniperus,monosperma,
EPHEDRACEAE,EPTO,Ephedra,torreyana,
EUPHORBIACEAE,ACNE,Acalypha,neomexicana,
EUPHORBIACEAE,CHAL11,Chamaesyce,albomarginata,
EUPHORBIACEAE,CHCHC3,Chamaesyce,chaetocalyx,
EUPHORBIACEAE,CHFE3,Chamaesyce,fendleri,
EUPHORBIACEAE,CHLA10,Chamaesyce,lata,
EUPHORBIACEAE,CHMI7,Chamaesyce,micromera,
EUPHORBIACEAE,CHRE4,Chamaesyce,revoluta,
EUPHORBIACEAE,CHSE7,Chamaesyce,serrula,
EUPHORBIACEAE,CHSES,Chamaesyce,serpyllifolia,
EUPHORBIACEAE,CHST8,Chamaesyce,stictospora,
EUPHORBIACEAE,CRTE4,Croton,texensis,
EUPHORBIACEAE,EUEX4,Euphorbia,exstipulata,
EUPHORBIACEAE,TRRA5,Tragia,ramosa,
FABACEAE,ASFE2,Astragalus,feensis,
,ASFL2,Astragalus,flexuosus,
FABACEAE,ASNU4,Astragalus,nuttallianus,
FABACEAE,DABR,Dalea,brachystachya,
FABACEAE,DAFO,Dalea,formosa,
FABACEAE,DAJA,Dalea,jamesii,
FABACEAE,DANAN,Dalea,nana,
FABACEAE,HODR,Hoffmannseggia,drepanocarpa,
FABACEAE,HOGL2,Hoffmannseggia,glauca,
FABACEAE,LOPL2,Lotus,plebeius,
FABACEAE,LUBR2,Lupinus,brevicaulis,
FABACEAE,POJA5,Pomaria,jamesii,
FABACEAE,PRGLT,Prosopis,glandulosa,
FABACEAE,PSSC6,Psorothamnus,scoparius,
FABACEAE,SEBA3,Senna,bauhinoides,
FABACEAE,SONU,Sophora,nuttalliana,
FAGACEAE,QUGR3,Quercus,grisea,
FAGACEAE,QUTU2,Quercus,turbinella,
FUMARIACEAE,COAU2,Corydalis,aurea,
GERANIACEAE,ERCI6,Erodium,cicutarium,
GERANIACEAE,ERTE13,Erodium,texanum,
HYDROPHYLLACEAE,NADI,Nama,dichotomum,
HYDROPHYLLACEAE,NAHI,Nama,hispida,
HYDROPHYLLACEAE,PHCR,Phacelia,crenulata,
